ownership_type,nexus_rating,energy_footprint,core_reactor_size,harvesting_space,vertical_alignment,power_chambers,energy_flow_design,upper_collector_height,shared_conversion_units,isolated_conversion_units,internal_collectors,external_collectors,ambient_harvesters,shielded_harvesters,efficiency_grade,grid_connections
3.0,4622750.0,27.5,7.1,12.8,3.0,1.0,,2.65,1.0,0.0,1.0,0.0,,,,1.0
0.0,4600000.0,27.9,5.3,14.1,7.0,1.0,,,1.0,0.0,,,1.0,0.0,,2.0
3.0,4673700.0,27.0,6.9,12.7,3.0,1.0,,2.65,1.0,0.0,1.0,0.0,,,,1.0
3.0,4680500.0,27.5,7.1,12.8,8.0,1.0,,2.65,1.0,0.0,1.0,0.0,,,,1.0
3.0,4692699.0,42.28,19.9,11.0,2.0,1.0,,2.8,0.0,1.0,1.0,0.0,0.0,1.0,,1.0
0.0,4680000.0,24.1,5.3,14.8,5.0,1.0,,,1.0,0.0,0.0,1.0,,,,1.0
2.0,4700000.0,38.4,11.4,15.4,2.0,1.0,,,1.0,0.0,1.0,0.0,0.0,1.0,,1.0
1.0,4700000.0,36.6,8.0,16.0,1.0,1.0,,,,,1.0,0.0,,,,2.0
1.0,4725000.0,38.07,,,6.0,1.0,,,1.0,0.0,1.0,0.0,0.0,1.0,,1.0
3.0,4792600.0,38.65,10.0,16.8,10.0,1.0,,2.7,0.0,1.0,,,0.0,1.0,,1.0
3.0,4848385.0,43.59,19.0,10.9,8.0,1.0,,2.8,1.0,0.0,1.0,0.0,0.0,1.0,,1.0
3.0,4819500.0,31.5,,12.9,18.0,1.0,,3.0,1.0,0.0,1.0,0.0,0.0,1.0,,1.0
3.0,4914661.0,53.49,9.8,24.5,4.0,2.0,,2.8,0.0,1.0,1.0,0.0,0.0,1.0,,1.0
0.0,4932000.0,41.1,10.9,20.2,2.0,1.0,,,,,1.0,0.0,,,1.0,1.0
3.0,4961240.0,40.01,10.5,18.0,14.0,1.0,,2.7,0.0,1.0,,,,,,1.0
3.0,4958834.0,48.36,23.3,11.9,5.0,1.0,,2.8,1.0,0.0,1.0,0.0,0.0,1.0,,1.0
1.0,4950000.0,33.98,13.1,12.0,9.0,1.0,,,1.0,0.0,1.0,0.0,0.0,1.0,,1.0
3.0,5000925.0,51.35,11.2,25.5,12.0,2.0,,2.8,0.0,1.0,1.0,0.0,0.0,1.0,,1.0
3.0,5031920.0,40.58,10.4,18.1,2.0,1.0,,2.7,0.0,1.0,,,,,,1.0
0.0,5000000.0,34.6,11.6,12.0,6.0,1.0,,,1.0,0.0,1.0,0.0,0.0,1.0,,1.0
1.0,5125000.0,39.1,,,10.0,1.0,,,1.0,0.0,1.0,0.0,0.0,1.0,,1.0
3.0,5125337.0,36.43,11.3,15.1,5.0,1.0,,2.8,1.0,0.0,1.0,0.0,0.0,1.0,,1.0
,5100000.0,25.2,8.0,16.7,2.0,1.0,,,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0
3.0,5239200.0,35.4,,16.0,15.0,1.0,,3.0,1.0,0.0,1.0,0.0,0.0,1.0,,1.0
0.0,5200000.0,32.0,6.0,15.0,13.0,1.0,,,1.0,0.0,,,,,,1.0
1.0,5290000.0,52.3,9.4,30.6,5.0,2.0,1.0,,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
3.0,5304400.0,35.6,,13.5,16.0,1.0,,3.0,1.0,0.0,1.0,0.0,0.0,1.0,,1.0
3.0,5339950.0,36.5,17.2,10.4,2.0,1.0,,2.65,1.0,0.0,1.0,0.0,,,,1.0
3.0,5306020.0,35.9,17.0,10.1,1.0,1.0,,2.65,1.0,0.0,1.0,0.0,,,,1.0
0.0,5300000.0,36.9,10.2,18.2,6.0,1.0,,,1.0,0.0,0.0,1.0,,,,2.0
3.0,5358845.0,38.1,17.6,10.7,6.0,1.0,,2.89,1.0,0.0,1.0,0.0,0.0,1.0,,1.0
3.0,5413162.0,32.3,7.2,13.9,8.0,1.0,,2.89,1.0,0.0,1.0,0.0,1.0,0.0,,1.0
0.0,5400000.0,36.2,,,7.0,1.0,,,,,0.0,1.0,1.0,0.0,0.0,1.0
3.0,5467782.0,36.4,9.9,13.9,16.0,1.0,,2.89,1.0,0.0,1.0,0.0,0.0,1.0,,1.0
3.0,5494300.0,32.9,6.0,14.7,1.0,1.0,,2.65,1.0,0.0,1.0,0.0,,,,1.0
3.0,5541164.0,34.43,10.4,15.0,14.0,1.0,,2.8,1.0,0.0,1.0,0.0,0.0,1.0,,1.0
3.0,5563460.0,34.3,11.0,11.7,5.0,1.0,,2.65,1.0,0.0,1.0,0.0,,,,1.0
1.0,5500000.0,47.0,,,2.0,2.0,,,0.0,1.0,,,1.0,0.0,1.0,1.0
2.0,5500000.0,43.0,,,1.0,2.0,,,0.0,1.0,1.0,0.0,,,0.0,1.0
3.0,5583760.0,33.8,10.7,11.5,1.0,1.0,,2.65,1.0,0.0,1.0,0.0,,,,1.0
3.0,5644921.0,38.8,17.4,11.7,6.0,1.0,,2.89,1.0,0.0,1.0,0.0,0.0,1.0,,1.0
3.0,5605581.0,36.65,17.9,10.7,5.0,1.0,,2.8,1.0,0.0,0.0,1.0,0.0,1.0,,1.0
3.0,5654250.0,35.9,16.9,10.1,1.0,1.0,,2.65,1.0,0.0,1.0,0.0,,,,1.0
3.0,5696928.0,37.75,11.1,15.6,11.0,1.0,,2.8,1.0,0.0,1.0,0.0,0.0,1.0,,1.0
3.0,5679961.0,36.28,10.9,17.1,13.0,1.0,,2.8,1.0,0.0,1.0,0.0,0.0,1.0,,1.0
3.0,5678190.0,36.38,11.0,17.1,14.0,1.0,,2.8,1.0,0.0,1.0,0.0,0.0,1.0,,1.0
3.0,5661600.0,33.7,10.7,11.5,10.0,1.0,,2.65,1.0,0.0,1.0,0.0,,,,1.0
0.0,5650000.0,38.4,10.6,19.4,9.0,1.0,,,1.0,0.0,0.0,1.0,1.0,0.0,,2.0
3.0,5703054.0,40.2,18.7,11.7,3.0,1.0,,2.89,1.0,0.0,1.0,0.0,0.0,1.0,,1.0
3.0,5745600.0,37.8,,14.9,17.0,1.0,,3.0,1.0,0.0,1.0,0.0,0.0,1.0,,1.0
3.0,5711700.0,39.5,5.0,25.9,6.0,2.0,,2.65,1.0,0.0,0.0,1.0,,,,1.0
3.0,5712775.0,37.2,10.2,15.5,13.0,1.0,,2.89,1.0,0.0,1.0,0.0,0.0,1.0,,1.0
3.0,5727844.0,38.33,11.2,16.6,10.0,1.0,,2.8,1.0,0.0,1.0,0.0,0.0,1.0,,1.0
3.0,5723397.0,38.33,11.2,16.6,8.0,1.0,,2.8,1.0,0.0,1.0,0.0,0.0,1.0,,1.0
1.0,5700000.0,37.0,11.5,16.6,9.0,1.0,,,0.0,1.0,,,1.0,0.0,1.0,1.0
1.0,5700000.0,36.5,11.4,18.0,7.0,1.0,,,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
0.0,5700000.0,65.0,,49.0,3.0,3.0,,,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
1.0,5790000.0,37.1,,,11.0,1.0,,,1.0,0.0,,,0.0,1.0,1.0,2.0
3.0,5768400.0,38.0,17.9,11.4,9.0,1.0,,2.65,1.0,0.0,1.0,0.0,,,,1.0
3.0,5772100.0,39.4,18.2,11.2,6.0,1.0,,2.65,1.0,0.0,1.0,0.0,,,,1.0
3.0,178050000.0,236.91,,,1.0,1.0,,4.2,,,,,,,,1.0
3.0,5825490.0,41.7,22.6,10.3,4.0,1.0,,2.65,1.0,0.0,1.0,0.0,,,,1.0
3.0,5846000.0,39.5,19.6,11.2,14.0,1.0,,2.65,1.0,0.0,1.0,0.0,,,,1.0
3.0,5822610.0,37.6,12.1,13.9,7.0,1.0,,2.89,1.0,0.0,1.0,0.0,0.0,1.0,,1.0
3.0,5803560.0,34.3,10.7,11.5,13.0,1.0,,2.65,1.0,0.0,1.0,0.0,,,,1.0
1.0,5800000.0,50.0,9.0,30.0,6.0,2.0,,,0.0,1.0,1.0,0.0,0.0,1.0,,2.0
0.0,5800000.0,43.0,6.0,28.0,3.0,2.0,1.0,,1.0,0.0,,,1.0,0.0,1.0,1.0
3.0,5868100.0,41.5,18.9,13.3,1.0,1.0,,2.65,1.0,0.0,1.0,0.0,,,,1.0
3.0,5888126.0,46.0,20.9,12.1,2.0,1.0,,2.89,1.0,0.0,1.0,0.0,,,,1.0
3.0,5947150.0,49.15,10.9,27.6,10.0,2.0,,2.7,0.0,1.0,,,,,,1.0
3.0,5909336.0,37.79,11.1,15.6,14.0,1.0,,2.8,1.0,0.0,1.0,0.0,0.0,1.0,,1.0
3.0,5965433.0,46.0,20.9,12.1,2.0,1.0,,2.89,1.0,0.0,1.0,0.0,,,,1.0
3.0,5944350.0,34.5,10.7,11.5,3.0,1.0,,2.65,1.0,0.0,1.0,0.0,1.0,0.0,,1.0
3.0,5985000.0,34.2,,13.8,11.0,1.0,,3.0,1.0,0.0,1.0,0.0,0.0,1.0,,1.0
3.0,5992150.0,39.5,18.1,11.1,2.0,1.0,,2.65,1.0,0.0,1.0,0.0,,,,1.0
0.0,5950000.0,44.3,16.0,13.0,21.0,1.0,,,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
,5900000.0,40.5,,,2.0,1.0,,2.9,1.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0
3.0,6027440.0,51.08,11.2,26.5,10.0,2.0,,2.7,0.0,1.0,,,,,,1.0
3.0,6049390.0,43.9,17.6,12.1,8.0,1.0,,2.89,1.0,0.0,1.0,0.0,0.0,1.0,,1.0
1.0,6000000.0,42.0,9.0,21.0,8.0,1.0,,,1.0,0.0,,,0.0,1.0,1.0,2.0
3.0,6028260.0,43.4,23.0,11.4,1.0,1.0,,2.65,1.0,0.0,1.0,0.0,,,,1.0
2.0,6000000.0,44.0,12.0,18.0,12.0,1.0,,,1.0,0.0,,,0.0,1.0,0.0,2.0
3.0,6054567.0,34.9,10.3,11.9,7.0,1.0,,3.19,1.0,0.0,1.0,0.0,0.0,1.0,,1.0
3.0,6095430.0,39.3,18.1,11.1,16.0,1.0,,2.65,1.0,0.0,1.0,0.0,,,,1.0
3.0,6130304.0,46.6,22.1,13.2,2.0,1.0,,2.89,1.0,0.0,1.0,0.0,,,,1.0
2.0,6100000.0,44.0,15.0,15.0,1.0,1.0,,,1.0,0.0,1.0,0.0,,,2.0,2.0
3.0,6196740.0,45.1,22.5,12.4,2.0,1.0,,2.65,1.0,0.0,1.0,0.0,,,,1.0
3.0,6175800.0,42.3,16.0,15.3,4.0,1.0,,2.65,0.0,1.0,1.0,0.0,,,,1.0
3.0,6177000.0,43.5,22.7,11.5,9.0,1.0,,2.65,1.0,0.0,1.0,0.0,,,,1.0
3.0,6185800.0,39.4,5.9,23.4,11.0,2.0,,2.65,1.0,0.0,0.0,1.0,,,,1.0
3.0,6249880.0,52.52,11.2,26.5,16.0,2.0,,,,,,,,,,0.0
3.0,6285440.0,51.52,12.1,27.2,13.0,2.0,,2.7,0.0,1.0,,,0.0,1.0,,1.0
1.0,6200000.0,37.9,10.0,20.0,11.0,2.0,,,,,,,,,,1.0
3.0,6265405.0,39.2,10.4,16.7,12.0,1.0,,2.89,1.0,0.0,1.0,0.0,0.0,1.0,,1.0
3.0,6216210.0,42.9,16.0,15.3,9.0,1.0,,2.65,0.0,1.0,1.0,0.0,1.0,0.0,,1.0
3.0,6220500.0,42.9,16.0,15.3,3.0,1.0,,2.65,0.0,1.0,1.0,0.0,1.0,0.0,,1.0
,6250000.0,35.9,13.6,13.0,8.0,1.0,,,,,0.0,1.0,1.0,0.0,0.0,1.0
3.0,6323700.0,39.4,19.6,11.2,17.0,1.0,,2.65,1.0,0.0,1.0,0.0,,,,1.0
3.0,6383070.0,42.3,16.1,15.1,2.0,1.0,,2.65,0.0,1.0,1.0,0.0,,,,1.0
,6350000.0,38.2,10.0,15.0,9.0,1.0,,2.85,1.0,0.0,,,0.0,1.0,2.0,1.0
3.0,6487808.0,47.27,6.5,25.4,4.0,2.0,,2.8,1.0,0.0,,,1.0,1.0,,1.0
3.0,6476640.0,52.4,19.5,19.9,1.0,2.0,,2.65,0.0,2.0,0.0,1.0,,,,1.0
,6400000.0,38.0,7.0,31.0,7.0,1.0,,2.74,1.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0
3.0,6520800.0,52.8,10.5,29.6,1.0,2.0,,2.65,0.0,2.0,0.0,1.0,,,,1.0
1.0,6525000.0,60.64,,,5.0,2.0,,,1.0,0.0,1.0,0.0,0.0,1.0,,1.0
2.0,6500000.0,42.0,12.0,21.0,5.0,1.0,,,1.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0
3.0,6562530.0,56.09,12.4,30.2,3.0,2.0,,2.7,0.0,2.0,,,0.0,1.0,,1.0
3.0,6554073.0,55.03,5.0,35.5,1.0,3.0,,2.8,1.0,0.0,,,,,,1.0
3.0,6563520.0,47.7,10.5,23.6,2.0,2.0,,2.65,0.0,1.0,0.0,1.0,,,,1.0
3.0,6640880.0,51.4,10.6,26.6,2.0,2.0,,2.65,0.0,1.0,0.0,1.0,,,,1.0
3.0,6608826.0,57.11,25.4,14.4,1.0,1.0,,2.8,1.0,0.0,0.0,1.0,,,,1.0
3.0,6630300.0,47.7,10.5,23.6,2.0,2.0,,2.65,0.0,1.0,0.0,1.0,,,,1.0
1.0,6600000.0,45.0,13.0,22.0,3.0,1.0,,,1.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0
1.0,6690000.0,57.3,10.0,30.0,5.0,2.0,,,1.0,1.0,1.0,1.0,0.0,1.0,,1.0
3.0,6697260.0,52.2,11.7,26.9,5.0,2.0,,2.65,0.0,1.0,0.0,1.0,,,,1.0
3.0,6746404.0,57.11,25.4,14.4,1.0,1.0,,2.8,1.0,0.0,0.0,1.0,,,,1.0
3.0,6732112.0,51.6,5.9,34.4,12.0,2.0,,2.89,1.0,0.0,1.0,0.0,1.0,0.0,,1.0
3.0,6722026.0,44.4,19.7,13.9,5.0,1.0,,2.89,1.0,0.0,1.0,0.0,1.0,0.0,,1.0
2.0,6699000.0,45.0,15.0,14.0,1.0,2.0,,,1.0,0.0,,,,,1.0,1.0
,6700000.0,42.0,10.2,17.9,10.0,1.0,,,1.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0
0.0,6700000.0,51.3,9.0,34.0,1.0,2.0,2.0,2.9,1.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0
